Document Name,Document Code,Area Name,Assigned Groups,Classification,Meta,Document Type,Last updated by,Action performed,Last update date,Doc Type,Notes
080614 Delete  QuickConfirm Employee Facts,97e9d,Pay,EnwisenAdmin | ,Administration | ,Domain:clientinfo | Subject:pay | ,Uploaded Document,RKarath,Document deleted.,2014-08-06 11:08:36.710,pdf,
080614 Delete  QuickConfirm User Guide,93eb4,Pay,EnwisenAdmin | ,Administration | ,Domain:clientinfo | Subject:pay | ,Uploaded Document,RKarath,Document deleted.,2014-08-06 11:08:37.107,ppt,
12-Hour Schedule Non Contract,5db9f,Forms,Answer Docs Access | EnwisenAdmin | HR | PL333 | PL340 | ,Administration | General | ,Domain:forms | Subject:policies | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:05:32.537,pdf,
2012-2016 SMC and IUOE Local  No. 286 Signed Contract,ac988339,Manager,Answer Docs Access | EnwisenAdmin | HR | SMC | ,Administration | General | ,Domain:mgr | ,Uploaded Document,RKarath,Assigned Group : HR,2014-06-04 17:01:54.430,pdf,
2014 Benefit Change Form,fff6efb5,Forms,Answer Docs Access | CAW | EnwisenAdmin | HR | ,Administration | General | ,Domain:forms | Subject:benefits | ,Uploaded Document,RKarath,Document Published successfully to Live server,2014-07-03 20:31:42.960,pdf,2014 Benefit Change Form.pdf
2015 COBRA Benefit Rate Sheet,d3f208e8,Health,Answer Docs Access | EnwisenAdmin | HR | PACMED | ,Administration | General | ,Domain:clientinfo | Subject:healthben | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2015-07-20 14:28:20.887,pdf,
2015 COBRA Rate Sheet,c5939912,Health,Answer Docs Access | EDMNonUnion | EnwisenAdmin | HR | ,Administration | General | ,Domain:clientinfo | Subject:healthben | ,Uploaded Document,mary,Assigned Group : EnwisenAdmin,2015-01-21 11:36:30.200,pdf,
4 Pay Periods Productivity Template,4bc26,Forms,Answer Docs Access | EnwisenAdmin | HR | PL370 | PL375 | PL390 | ,Administration | General | ,Domain:forms | Subject:pay | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:06:20.837,ocx,
Access to Personal and Family Medical Records,c1749,Employment,Answer Docs Access | EnwisenAdmin | HR | MJM | ,Administration | General | ,Domain:employment | Subject:eepolicy8 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:15:52.423,pdf,
Accidents and Reporting,3f581,Employment,Answer Docs Access | EnwisenAdmin | HR | SMG | ,Administration | General | ,Domain:employment | Subject:eepolicy8 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:15:52.563,pdf,
Acknowledgement of Handbook Receipt,2b023,Forms,Answer Docs Access | EnwisenAdmin | HR | SMG | ,Administration | General | ,Domain:forms | Subject:policies | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:06:20.913,pdf,
ADA-Process for Identifying a Reasonable Accommodation,c32c0,Employment,Answer Docs Access | EnwisenAdmin | HR | PL370 | ,Administration | General | ,Domain:employment | Subject:eepolicy7 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:15:52.623,pdf,
Add or Maintain Beneficiary,e4f01734,Integration,Answer Docs Access | Basic Access | EnwisenAdmin | HR | ,Administration | General | ,Domain:integration | keywords:[*keywords*] | Role:[*role1*] | Role:[*role2*] | Subject:[*subject1*] | Subject:[*subject2*] | Subject:[*subject3*] | ,Content Document,lmartinez,Document Published successfully to Live server,2015-01-05 11:50:10.657,,lawson/xhrnet/Beneficiaries/beneficiaries.htm
Beneficiary - SID 87391
Addendum A - Periodic Competency Assessment Worksheet,2a9e2,Manager,Answer Docs Access | EnwisenAdmin | HR | PL325 | PL327 | ,Administration | General | ,Subject:manager | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:40:32.893,pdf,
Addressing Noncompliance Sound Bite,c75a6,Manager,Answer Docs Access | EnwisenAdmin | HR | SMG | ,Administration | General | ,Domain:career | Subject:manager | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:40:32.910,pdf,
